brand,model,price_ngn,condition,ram_gb,storage_gb,battery_mah,main_camera_mp,selfie_camera_mp,processor,five_g,refresh_rate_hz,display_inches,release_year,price_verified_date,price_source
TECNO,Camon 50 4G,340500.0,new,8.0,256.0,6150.0,50.0,32.0,MediaTek Helio G200 Ultimate,No,144.0,6.78,2026,2026-09-22,mobility.com.ng
TECNO,Camon 50 Pro 4G,370000.0,new,8.0,256.0,6150.0,50.0,32.0,MediaTek Helio G200 Ultimate,No,144.0,6.78,2026,2026-09-22,mobility.com.ng
TECNO,Spark 50 4G,190000.0,new,4.0,128.0,6700.0,50.0,8.0,MediaTek Helio G81,No,120.0,6.78,2026,2026-09-22,mobility.com.ng / smartprix.com
TECNO,Spark Slim,355000.0,new,8.0,128.0,5160.0,50.0,13.0,MediaTek Dimensity 6300,No,,,2025,2026-09-22,gsmarena.com / smartprix.com
TECNO,Spark 40 Pro+,273300.0,new,8.0,256.0,5200.0,50.0,13.0,MediaTek Helio G200,No,144.0,6.78,2025,2026-09-22,telset.id / startech.com.bd
TECNO,Spark 40 Pro,232350.0,new,8.0,128.0,5000.0,50.0,13.0,MediaTek Helio G100,No,120.0,,2025,2026-09-22,telset.id / startech.com.bd
TECNO,Spark 40,143000.0,new,4.0,128.0,5000.0,50.0,8.0,MediaTek Helio G81,No,120.0,,2025,2026-09-22,smartprix.com
TECNO,Spark 40C,120500.0,new,4.0,128.0,5000.0,50.0,8.0,MediaTek Helio G85,No,90.0,6.6,2025,2026-09-22,mobility.com.ng / slot.ng
TECNO,Camon 40 Premier,695000.0,new,12.0,256.0,5100.0,50.0,50.0,MediaTek Dimensity 8350,Yes,120.0,6.67,2025,2026-09-22,gsmarena.com / slot.ng
TECNO,Camon 40 Pro 5G,400000.0,new,8.0,256.0,5200.0,50.0,50.0,MediaTek Dimensity 7300,Yes,144.0,6.78,2025,2026-09-22,gsmarena.com / telset.id
TECNO,Camon 40 Pro,370000.0,new,8.0,256.0,5200.0,50.0,50.0,MediaTek Helio G100,No,120.0,6.78,2025,2026-09-22,gsmarena.com
