customer_id,budget_ngn,primary_use,camera_priority,battery_priority,performance_priority,storage_priority,brand_preference,data_source
SYN-0001,419000,gaming,low,medium,low,high,Xiaomi,synthetic
SYN-0002,311000,gaming,high,high,low,high,Any,synthetic
SYN-0003,214000,general,low,medium,low,low,Any,synthetic
SYN-0004,376000,student,high,medium,high,high,Any,synthetic
SYN-0005,1475000,general,high,medium,low,medium,Any,synthetic
SYN-0006,155000,gaming,high,medium,high,medium,Any,synthetic
SYN-0007,154000,student,high,medium,medium,high,Any,synthetic
SYN-0008,89000,student,medium,medium,high,medium,Any,synthetic
SYN-0009,86000,gaming,low,low,high,medium,TECNO,synthetic
SYN-0010,458000,camera,high,high,medium,high,Any,synthetic
SYN-0011,159000,general,medium,medium,high,medium,TECNO,synthetic
SYN-0012,295000,camera,high,high,low,low,TECNO,synthetic
SYN-0013,153000,camera,medium,low,medium,medium,Any,synthetic
SYN-0014,96000,gaming,high,medium,low,low,itel,synthetic
SYN-0015,359000,student,low,medium,low,medium,Samsung,synthetic
SYN-0016,768000,student,medium,low,low,medium,Any,synthetic
SYN-0017,174000,gaming,medium,high,high,low,Any,synthetic
SYN-0018,255000,camera,high,high,high,low,Any,synthetic
SYN-0019,149000,social_media,medium,high,medium,low,Infinix,synthetic
SYN-0020,406000,general,medium,medium,medium,low,TECNO,synthetic
SYN-0021,641000,camera,high,medium,high,high,Any,synthetic
SYN-0022,63000,general,medium,medium,low,medium,Any,synthetic
SYN-0023,144000,camera,high,medium,high,medium,Any,synthetic
SYN-0024,1414000,general,low,medium,high,medium,Any,synthetic
SYN-0025,2465000,gaming,medium,high,medium,low,Any,synthetic
SYN-0026,766000,camera,high,medium,low,low,Infinix,synthetic
SYN-0027,374000,student,high,high,low,medium,TECNO,synthetic
SYN-0028,344000,social_media,high,medium,medium,high,Infinix,synthetic
SYN-0029,164000,camera,high,low,low,high,TECNO,synthetic
SYN-0030,1104000,work,medium,medium,high,high,Any,synthetic
SYN-0031,153000,gaming,medium,medium,high,high,Infinix,synthetic
SYN-0032,490000,work,medium,medium,high,high,Samsung,synthetic
SYN-0033,277000,gaming,medium,medium,high,high,Any,synthetic
SYN-0034,78000,social_media,high,medium,low,low,Xiaomi,synthetic
SYN-0035,440000,social_media,medium,medium,high,high,Infinix,synthetic
SYN-0036,60000,general,medium,low,low,medium,TECNO,synthetic
SYN-0037,206000,student,low,high,low,medium,itel,synthetic
SYN-0038,306000,student,low,high,medium,low,Any,synthetic
SYN-0039,146000,general,medium,high,low,medium,Samsung,synthetic
SYN-0040,495000,camera,high,medium,high,low,TECNO,synthetic
SYN-0041,76000,gaming,low,high,high,low,Infinix,synthetic
SYN-0042,109000,social_media,high,high,low,high,Any,synthetic
SYN-0043,187000,work,medium,high,low,medium,TECNO,synthetic
SYN-0044,296000,work,low,low,high,high,Any,synthetic
SYN-0045,209000,gaming,medium,high,low,medium,Any,synthetic
SYN-0046,230000,social_media,high,high,high,high,Xiaomi,synthetic
SYN-0047,1202000,gaming,medium,high,high,medium,TECNO,synthetic
SYN-0048,695000,work,low,low,medium,medium,TECNO,synthetic
SYN-0049,314000,work,medium,high,low,high,Any,synthetic
SYN-0050,369000,general,high,low,medium,high,Any,synthetic
SYN-0051,461000,gaming,high,high,high,high,Any,synthetic
SYN-0052,121000,student,high,medium,medium,medium,TECNO,synthetic
SYN-0053,284000,gaming,medium,low,high,low,Samsung,synthetic
SYN-0054,1201000,gaming,medium,high,medium,medium,Xiaomi,synthetic
SYN-0055,1346000,camera,medium,high,high,high,Any,synthetic
SYN-0056,605000,social_media,medium,medium,high,medium,Any,synthetic
SYN-0057,183000,work,medium,high,medium,high,Samsung,synthetic
SYN-0058,205000,student,high,high,high,high,Google Pixel,synthetic
SYN-0059,206000,student,high,medium,medium,medium,Infinix,synthetic
SYN-0060,158000,work,low,low,high,high,Any,synthetic
SYN-0061,221000,work,low,medium,high,high,Any,synthetic
SYN-0062,140000,work,medium,high,low,high,Oppo,synthetic
SYN-0063,79000,gaming,low,high,high,medium,Any,synthetic
SYN-0064,840000,general,medium,low,medium,low,itel,synthetic
SYN-0065,237000,gaming,low,high,high,medium,Any,synthetic
SYN-0066,240000,general,low,low,low,high,Any,synthetic
SYN-0067,383000,camera,high,high,low,low,Infinix,synthetic
SYN-0068,297000,general,medium,high,medium,high,Infinix,synthetic
SYN-0069,212000,general,low,low,high,high,Samsung,synthetic
SYN-0070,265000,work,high,high,medium,high,Apple,synthetic
SYN-0071,78000,student,high,high,low,medium,Any,synthetic
SYN-0072,274000,social_media,medium,high,high,low,Any,synthetic
SYN-0073,62000,camera,high,medium,high,low,Any,synthetic
