budget_ngn,primary_use,camera_priority,battery_priority,performance_priority,storage_priority,wants_specific_brand,brand_matches_pref,price_ngn,price_to_budget_ratio,ram_gb,storage_gb,battery_mah,main_camera_mp,selfie_camera_mp,processor_tier,refresh_rate_hz,five_g,brand,customer_id,model,target_score
419000,gaming,0,1,0,2,1,0,340500.0,0.8126491646778043,8.0,256.0,6150.0,50.0,32.0,65.0,144.0,0,TECNO,SYN-0001,Camon 50 4G,70.28948611271747
419000,gaming,0,1,0,2,1,0,370000.0,0.883054892601432,8.0,256.0,6150.0,50.0,32.0,65.0,144.0,0,TECNO,SYN-0001,Camon 50 Pro 4G,70.93838683090758
419000,gaming,0,1,0,2,1,0,190000.0,0.45346062052505964,4.0,128.0,6700.0,50.0,8.0,25.0,120.0,0,TECNO,SYN-0001,Spark 50 4G,59.3086008454238
419000,gaming,0,1,0,2,1,0,355000.0,0.847255369928401,8.0,128.0,5160.0,50.0,13.0,50.0,,0,TECNO,SYN-0001,Spark Slim,53.180881822648274
419000,gaming,0,1,0,2,1,0,273300.0,0.6522673031026253,8.0,256.0,5200.0,50.0,13.0,65.0,144.0,0,TECNO,SYN-0001,Spark 40 Pro+,57.85760382856702
419000,gaming,0,1,0,2,1,0,232350.0,0.5545346062052506,8.0,128.0,5000.0,50.0,13.0,50.0,120.0,0,TECNO,SYN-0001,Spark 40 Pro,49.846841292989225
419000,gaming,0,1,0,2,1,0,143000.0,0.3412887828162291,4.0,128.0,5000.0,50.0,8.0,25.0,120.0,0,TECNO,SYN-0001,Spark 40,44.089554873860735
419000,gaming,0,1,0,2,1,0,120500.0,0.28758949880668255,4.0,128.0,5000.0,50.0,8.0,40.0,90.0,0,TECNO,SYN-0001,Spark 40C,43.4348763730047
419000,gaming,0,1,0,2,1,0,400000.0,0.954653937947494,8.0,256.0,5200.0,50.0,50.0,65.0,144.0,1,TECNO,SYN-0001,Camon 40 Pro 5G,66.53864353072716
419000,gaming,0,1,0,2,1,0,370000.0,0.883054892601432,8.0,256.0,5200.0,50.0,50.0,50.0,120.0,0,TECNO,SYN-0001,Camon 40 Pro,64.24126369650845
419000,gaming,0,1,0,2,1,0,286000.0,0.6825775656324582,8.0,128.0,5200.0,50.0,32.0,50.0,120.0,0,TECNO,SYN-0001,Camon 40,55.72249087827346
419000,gaming,0,1,0,2,1,0,127900.0,0.30525059665871124,4.0,128.0,6000.0,13.0,8.0,25.0,90.0,0,TECNO,SYN-0001,Pop 10 Pro,49.6923658295826
419000,gaming,0,1,0,2,1,0,116000.0,0.27684964200477324,3.0,64.0,5000.0,13.0,8.0,25.0,120.0,0,TECNO,SYN-0001,Pop 10,39.78361048173166
419000,gaming,0,1,0,2,1,0,103000.0,0.2458233890214797,2.0,64.0,5000.0,13.0,8.0,35.0,90.0,0,TECNO,SYN-0001,Pop 10C,38.65894455561835
419000,gaming,0,1,0,2,1,0,139000.0,0.3317422434367542,4.0,128.0,5000.0,50.0,8.0,25.0,90.0,0,TECNO,SYN-0001,Spark 30C,43.00310443411135
419000,gaming,0,1,0,2,1,0,247000.0,0.5894988066825776,8.0,128.0,5000.0,50.0,32.0,,120.0,0,TECNO,SYN-0001,Spark 30 Pro,53.328903105433156
419000,gaming,0,1,0,2,1,0,111300.0,0.2656324582338902,8.0,128.0,5000.0,50.0,32.0,40.0,90.0,0,TECNO,SYN-0001,Spark 20,48.65322759489738
419000,gaming,0,1,0,2,1,0,460000.0,1.097852028639618,8.0,128.0,5000.0,50.0,12.0,65.0,120.0,1,Samsung,SYN-0001,Galaxy A36 5G,30.318310368097276
419000,gaming,0,1,0,2,1,0,135489.0,0.32336276849642004,4.0,64.0,5000.0,50.0,8.0,40.0,90.0,0,Samsung,SYN-0001,Galaxy A07,41.86274792453033
419000,gaming,0,1,0,2,1,0,146005.0,0.34846062052505966,4.0,128.0,5000.0,50.0,8.0,40.0,90.0,0,Samsung,SYN-0001,Galaxy A06,43.99590053630771
419000,gaming,0,1,0,2,1,0,154100.0,0.3677804295942721,4.0,128.0,5200.0,,,25.0,120.0,0,itel,SYN-0001,City 200,51.45241422745856
419000,gaming,0,1,0,2,1,0,127100.0,0.30334128878281624,3.0,64.0,6000.0,13.0,5.0,25.0,120.0,0,itel,SYN-0001,A200+,47.8941136076752
419000,gaming,0,1,0,2,1,0,145000.0,0.3460620525059666,4.0,128.0,6000.0,13.0,8.0,,,0,itel,SYN-0001,Power 70,48.87035159776007
419000,gaming,0,1,0,2,1,0,227700.0,0.543436754176611,8.0,128.0,6000.0,50.0,32.0,40.0,144.0,0,itel,SYN-0001,Super 26 Ultra,61.35510861039418
419000,gaming,0,1,0,2,1,1,149900.0,0.3577565632458234,4.0,128.0,6000.0,32.0,5.0,25.0,120.0,0,Xiaomi,SYN-0001,Redmi A7 Pro,53.469461417015246
419000,gaming,0,1,0,2,1,1,153404.0,0.3661193317422434,4.0,128.0,6000.0,50.0,8.0,25.0,120.0,0,Xiaomi,SYN-0001,Redmi 15C,54.71077667466184
419000,gaming,0,1,0,2,1,1,146600.0,0.34988066825775654,6.0,128.0,5160.0,50.0,13.0,25.0,120.0,0,Xiaomi,SYN-0001,Redmi 14C,49.14721841759369
419000,gaming,0,1,0,2,1,1,98100.0,0.2341288782816229,8.0,256.0,5000.0,50.0,8.0,40.0,90.0,0,Xiaomi,SYN-0001,Redmi 13C,50.39149708940017
419000,gaming,0,1,0,2,1,0,150000.0,0.35799522673031026,4.0,128.0,5100.0,32.0,8.0,65.0,,0,OPPO,SYN-0001,A3X 4G,45.73953955802264
419000,gaming,0,1,0,2,1,0,460000.0,1.097852028639618,,64.0,,12.0,,80.0,60.0,1,Apple iPhone,SYN-0001,SE 2022,21.860881114667308
311000,gaming,2,2,0,2,0,0,340500.0,1.094855305466238,8.0,256.0,6150.0,50.0,32.0,65.0,144.0,0,TECNO,SYN-0002,Camon 50 4G,50.76088220561048
